BRANCH_COUNT,CALL_PAIRS,LOC_CODE_AND_COMMENT,LOC_COMMENTS,CONDITION_COUNT,CYCLOMATIC_COMPLEXITY,CYCLOMATIC_DENSITY,DECISION_COUNT,DESIGN_COMPLEXITY,DESIGN_DENSITY,EDGE_COUNT,ESSENTIAL_COMPLEXITY,ESSENTIAL_DENSITY,LOC_EXECUTABLE,PARAMETER_COUNT,HALSTEAD_CONTENT,HALSTEAD_DIFFICULTY,HALSTEAD_EFFORT,HALSTEAD_ERROR_EST,HALSTEAD_LENGTH,HALSTEAD_LEVEL,HALSTEAD_PROG_TIME,HALSTEAD_VOLUME,MAINTENANCE_SEVERITY,MODIFIED_CONDITION_COUNT,MULTIPLE_CONDITION_COUNT,NODE_COUNT,NORMALIZED_CYLOMATIC_COMPLEXITY,NUM_OPERANDS,NUM_OPERATORS,NUM_UNIQUE_OPERANDS,NUM_UNIQUE_OPERATORS,NUMBER_OF_LINES,PERCENT_COMMENTS,LOC_TOTAL,Defective
3.0,0.0,1.0,0.0,6.0,2.0,1.0,2.0,1.0,0.5,5.0,1.0,0.0,1.0,1.0,7.92,4.0,126.8,0.01,10.0,0.25,7.04,31.7,0.5,2.0,3.0,5.0,0.5,4.0,6.0,3.0,6.0,4.0,50.0,2.0,0
13.0,3.0,35.0,10.0,22.0,7.0,0.17,10.0,6.0,0.86,30.0,5.0,0.0,7.0,2.0,14.61,40.91,24444.48,0.2,123.0,0.02,1358.03,597.53,0.71,6.0,11.0,25.0,0.13,50.0,73.0,11.0,18.0,54.0,86.54,42.0,0
3.0,0.0,1.0,0.0,6.0,2.0,1.0,2.0,1.0,0.5,5.0,1.0,0.0,1.0,2.0,7.0,6.0,252.0,0.01,14.0,0.17,14.0,42.0,0.5,2.0,3.0,5.0,0.5,4.0,10.0,2.0,6.0,4.0,50.0,2.0,0
3.0,3.0,3.0,1.0,4.0,2.0,0.5,2.0,2.0,1.0,9.0,1.0,0.0,1.0,0.0,13.83,8.57,1016.03,0.04,29.0,0.12,56.45,118.54,0.5,1.0,2.0,9.0,0.29,12.0,17.0,7.0,10.0,7.0,80.0,4.0,0
7.0,0.0,7.0,2.0,12.0,4.0,0.5,6.0,1.0,0.25,16.0,1.0,0.0,1.0,2.0,13.02,12.0,1875.31,0.05,40.0,0.08,104.18,156.28,0.25,3.0,6.0,14.0,0.33,21.0,19.0,7.0,8.0,12.0,90.0,8.0,1
3.0,1.0,2.0,0.0,4.0,2.0,0.67,2.0,2.0,1.0,5.0,1.0,0.0,1.0,0.0,5.99,3.75,84.22,0.01,8.0,0.27,4.68,22.46,0.5,1.0,2.0,5.0,0.4,3.0,5.0,2.0,5.0,5.0,66.67,3.0,0
5.0,2.0,4.0,0.0,6.0,3.0,0.6,2.0,3.0,1.0,10.0,3.0,1.0,1.0,2.0,15.9,5.79,532.29,0.03,23.0,0.17,29.57,92.0,1.0,2.0,3.0,9.0,0.38,9.0,14.0,7.0,9.0,8.0,80.0,5.0,0
18.0,13.0,43.0,22.0,24.0,10.0,0.2,10.0,6.0,0.6,51.0,5.0,0.0,6.0,3.0,27.03,40.02,43298.39,0.36,188.0,0.02,2405.47,1081.92,0.5,7.0,12.0,43.0,0.13,69.0,119.0,25.0,29.0,75.0,91.55,49.0,0
5.0,20.0,54.0,100.0,8.0,3.0,0.05,4.0,2.0,0.67,35.0,1.0,0.0,3.0,0.0,85.35,18.7,29847.5,0.53,280.0,0.05,1658.19,1596.12,0.33,2.0,4.0,34.0,0.02,77.0,203.0,35.0,17.0,159.0,98.09,57.0,0
3.0,2.0,2.0,0.0,4.0,2.0,0.67,2.0,2.0,1.0,6.0,1.0,0.0,1.0,3.0,16.89,4.5,342.0,0.03,19.0,0.22,19.0,76.0,0.5,1.0,2.0,6.0,0.4,7.0,12.0,7.0,9.0,5.0,66.67,3.0,0
7.0,4.0,9.0,4.0,10.0,4.0,0.36,4.0,3.0,0.75,13.0,1.0,0.0,2.0,2.0,27.2,6.15,1029.98,0.06,37.0,0.16,57.22,167.37,0.25,3.0,5.0,11.0,0.24,16.0,21.0,13.0,10.0,17.0,86.67,11.0,0
9.0,3.0,9.0,0.0,12.0,5.0,0.5,4.0,4.0,0.8,15.0,5.0,1.0,1.0,2.0,20.03,13.36,3573.39,0.09,54.0,0.07,198.52,267.53,1.0,4.0,6.0,12.0,0.38,22.0,32.0,14.0,17.0,13.0,90.0,10.0,0
7.0,0.0,9.0,17.0,12.0,4.0,0.36,6.0,1.0,0.25,14.0,1.0,0.0,2.0,0.0,15.85,10.0,1584.57,0.05,38.0,0.1,88.03,158.46,0.25,3.0,6.0,12.0,0.13,16.0,22.0,8.0,10.0,30.0,92.86,11.0,0
9.0,1.0,10.0,2.0,16.0,5.0,0.45,8.0,1.0,0.2,18.0,1.0,0.0,1.0,0.0,29.13,4.67,634.36,0.05,32.0,0.21,35.24,135.93,0.2,4.0,8.0,15.0,0.33,16.0,16.0,12.0,7.0,15.0,92.31,11.0,0
13.0,7.0,35.0,17.0,20.0,7.0,0.19,8.0,2.0,0.29,31.0,3.0,0.0,2.0,5.0,28.27,30.31,25970.12,0.29,161.0,0.03,1442.78,856.83,0.43,6.0,10.0,26.0,0.12,67.0,94.0,21.0,19.0,60.0,96.3,37.0,1
7.0,4.0,21.0,48.0,4.0,5.0,0.21,2.0,5.0,1.0,16.0,1.0,0.0,3.0,0.0,26.15,12.5,4086.25,0.11,68.0,0.08,227.01,326.9,0.2,1.0,2.0,13.0,0.07,25.0,43.0,14.0,14.0,74.0,95.83,24.0,0
9.0,4.0,12.0,0.0,16.0,5.0,0.38,8.0,2.0,0.4,24.0,1.0,0.0,1.0,2.0,18.67,9.63,1729.78,0.06,46.0,0.1,96.1,179.72,0.2,4.0,8.0,21.0,0.33,22.0,24.0,8.0,7.0,15.0,92.31,13.0,0
3.0,5.0,3.0,0.0,4.0,2.0,0.5,2.0,2.0,1.0,10.0,1.0,0.0,1.0,3.0,19.7,8.25,1340.75,0.05,37.0,0.12,74.49,162.52,0.5,1.0,2.0,10.0,0.22,15.0,22.0,10.0,11.0,9.0,75.0,4.0,0
3.0,2.0,3.0,0.0,4.0,2.0,0.5,2.0,2.0,1.0,9.0,1.0,0.0,1.0,0.0,9.77,7.2,506.22,0.02,19.0,0.14,28.12,70.31,0.5,1.0,2.0,9.0,0.33,9.0,10.0,5.0,8.0,6.0,75.0,4.0,0
7.0,9.0,11.0,4.0,12.0,4.0,0.33,6.0,4.0,1.0,20.0,1.0,0.0,1.0,2.0,27.93,10.21,2914.07,0.1,60.0,0.1,161.89,285.29,0.25,3.0,6.0,18.0,0.22,22.0,38.0,14.0,13.0,18.0,93.75,12.0,0
3.0,0.0,5.0,4.0,4.0,2.0,0.29,2.0,1.0,0.5,7.0,1.0,0.0,2.0,0.0,11.34,9.8,1089.11,0.04,31.0,0.1,60.51,111.13,0.5,1.0,2.0,7.0,0.15,14.0,17.0,5.0,7.0,13.0,81.82,7.0,0
7.0,3.0,13.0,1.0,12.0,4.0,0.27,6.0,3.0,0.75,20.0,1.0,0.0,2.0,1.0,11.84,26.39,8245.95,0.1,65.0,0.04,458.11,312.48,0.25,3.0,6.0,18.0,0.22,25.0,40.0,9.0,19.0,18.0,87.5,15.0,0
3.0,1.0,2.0,4.0,4.0,2.0,0.67,2.0,2.0,1.0,5.0,1.0,0.0,1.0,0.0,8.0,3.0,72.0,0.01,8.0,0.33,4.0,24.0,0.5,1.0,2.0,5.0,0.22,2.0,6.0,2.0,6.0,9.0,85.71,3.0,0
3.0,0.0,1.0,0.0,4.0,2.0,1.0,2.0,1.0,0.5,6.0,1.0,0.0,1.0,1.0,5.0,6.0,180.0,0.01,10.0,0.17,10.0,30.0,0.5,1.0,2.0,6.0,0.5,4.0,6.0,2.0,6.0,4.0,50.0,2.0,0
3.0,1.0,5.0,0.0,4.0,2.0,0.29,2.0,2.0,1.0,6.0,1.0,0.0,2.0,2.0,16.37,5.25,451.25,0.03,22.0,0.19,25.07,85.95,0.5,1.0,2.0,6.0,0.22,7.0,15.0,6.0,9.0,9.0,71.43,7.0,0
3.0,0.0,1.0,0.0,4.0,2.0,1.0,2.0,1.0,0.5,6.0,1.0,0.0,1.0,2.0,3.95,15.75,980.75,0.02,18.0,0.06,54.49,62.27,0.5,1.0,2.0,6.0,0.5,7.0,11.0,2.0,9.0,4.0,50.0,2.0,0
18.0,10.0,40.0,12.0,28.0,10.0,0.22,14.0,9.0,0.9,42.0,1.0,0.0,6.0,0.0,36.22,21.25,16357.82,0.26,141.0,0.05,908.77,769.78,0.1,7.0,14.0,34.0,0.17,51.0,90.0,24.0,20.0,60.0,89.66,46.0,0
3.0,2.0,2.0,0.0,4.0,2.0,0.67,2.0,2.0,1.0,6.0,1.0,0.0,1.0,0.0,9.49,3.5,116.27,0.01,10.0,0.29,6.46,33.22,0.5,1.0,2.0,6.0,0.4,3.0,7.0,3.0,7.0,5.0,66.67,3.0,0
7.0,9.0,13.0,55.0,12.0,4.0,0.24,6.0,4.0,1.0,20.0,1.0,0.0,4.0,1.0,42.0,5.6,1317.26,0.08,52.0,0.18,73.18,235.23,0.25,3.0,6.0,18.0,0.05,21.0,31.0,15.0,8.0,74.0,94.44,17.0,0
3.0,1.0,3.0,0.0,4.0,2.0,0.4,2.0,1.0,0.5,6.0,1.0,0.0,2.0,3.0,12.14,5.33,345.2,0.02,17.0,0.19,19.18,64.73,0.5,1.0,2.0,6.0,0.29,8.0,9.0,6.0,8.0,7.0,60.0,5.0,0
7.0,7.0,21.0,6.0,12.0,4.0,0.17,6.0,3.0,0.75,23.0,1.0,0.0,3.0,2.0,37.17,15.89,9387.53,0.2,111.0,0.06,521.53,590.73,0.25,3.0,6.0,21.0,0.13,43.0,68.0,23.0,17.0,32.0,90.0,24.0,1
7.0,3.0,12.0,0.0,12.0,4.0,0.27,6.0,3.0,0.75,16.0,1.0,0.0,3.0,2.0,13.08,24.8,8043.39,0.11,69.0,0.04,446.86,324.33,0.25,3.0,6.0,14.0,0.24,31.0,38.0,10.0,16.0,17.0,80.0,15.0,0
3.0,3.0,6.0,1.0,4.0,2.0,0.29,2.0,2.0,1.0,7.0,1.0,0.0,1.0,2.0,22.04,5.44,653.33,0.04,30.0,0.18,36.3,120.0,0.5,1.0,2.0,7.0,0.2,14.0,16.0,9.0,7.0,10.0,87.5,7.0,0
7.0,4.0,9.0,0.0,10.0,4.0,0.36,4.0,4.0,1.0,17.0,3.0,0.0,2.0,2.0,19.24,10.2,2001.39,0.07,44.0,0.1,111.19,196.21,0.75,3.0,5.0,15.0,0.31,17.0,27.0,10.0,12.0,13.0,81.82,11.0,0
3.0,1.0,4.0,1.0,4.0,2.0,0.4,2.0,2.0,1.0,6.0,1.0,0.0,1.0,1.0,11.52,3.75,161.94,0.01,13.0,0.27,9.0,43.19,0.5,1.0,2.0,6.0,0.25,5.0,8.0,4.0,6.0,8.0,83.33,5.0,0
7.0,1.0,7.0,0.0,12.0,4.0,0.44,6.0,2.0,0.5,14.0,4.0,1.0,2.0,3.0,6.77,19.5,2574.0,0.04,33.0,0.05,143.0,132.0,1.0,3.0,6.0,12.0,0.33,13.0,20.0,4.0,12.0,12.0,77.78,9.0,0
13.0,7.0,18.0,7.0,20.0,7.0,0.32,8.0,6.0,0.86,29.0,5.0,0.0,4.0,4.0,32.27,18.21,10705.77,0.2,112.0,0.05,594.77,587.77,0.71,6.0,11.0,24.0,0.21,45.0,67.0,21.0,17.0,34.0,86.21,22.0,0
3.0,3.0,2.0,0.0,4.0,2.0,0.67,2.0,2.0,1.0,9.0,1.0,0.0,1.0,3.0,12.5,7.5,703.24,0.03,24.0,0.13,39.07,93.77,0.5,1.0,2.0,9.0,0.4,10.0,14.0,6.0,9.0,5.0,66.67,3.0,0
7.0,5.0,10.0,3.0,10.0,4.0,0.33,4.0,3.0,0.75,14.0,1.0,0.0,2.0,2.0,27.02,8.25,1838.97,0.07,48.0,0.12,102.16,222.91,0.25,3.0,5.0,12.0,0.24,21.0,27.0,14.0,11.0,17.0,86.67,12.0,0
12.0,9.0,18.0,2.0,12.0,8.0,0.4,6.0,7.0,0.88,28.0,5.0,0.0,2.0,1.0,27.79,11.33,3570.0,0.11,63.0,0.09,198.33,315.0,0.63,3.0,6.0,22.0,0.33,20.0,43.0,15.0,17.0,24.0,90.91,20.0,0
7.0,9.0,9.0,2.0,12.0,4.0,0.36,6.0,4.0,1.0,23.0,1.0,0.0,2.0,0.0,15.86,16.0,4061.18,0.08,54.0,0.06,225.62,253.82,0.25,3.0,6.0,21.0,0.27,20.0,34.0,10.0,16.0,15.0,84.62,11.0,0
3.0,3.0,4.0,4.0,4.0,2.0,0.4,2.0,2.0,1.0,7.0,1.0,0.0,1.0,0.0,14.04,2.0,56.15,0.01,10.0,0.5,3.12,28.07,0.5,1.0,2.0,7.0,0.18,3.0,7.0,3.0,4.0,11.0,88.89,5.0,0
9.0,0.0,9.0,0.0,14.0,5.0,0.45,6.0,1.0,0.2,15.0,4.0,0.0,2.0,4.0,9.49,16.8,2678.11,0.05,39.0,0.06,148.78,159.41,0.8,4.0,7.0,12.0,0.36,14.0,25.0,5.0,12.0,14.0,81.82,11.0,0
3.0,0.0,1.0,0.0,4.0,2.0,1.0,2.0,1.0,0.5,5.0,1.0,0.0,1.0,3.0,7.83,4.67,170.53,0.01,11.0,0.21,9.47,36.54,0.5,1.0,2.0,5.0,0.5,4.0,7.0,3.0,7.0,4.0,50.0,2.0,0
3.0,2.0,5.0,0.0,4.0,2.0,0.33,2.0,2.0,1.0,7.0,1.0,0.0,1.0,1.0,13.18,4.2,232.47,0.02,16.0,0.24,12.92,55.35,0.5,1.0,2.0,7.0,0.25,7.0,9.0,5.0,6.0,8.0,83.33,6.0,0
7.0,6.0,26.0,1.0,12.0,4.0,0.13,6.0,4.0,1.0,21.0,4.0,1.0,4.0,5.0,31.4,18.47,10714.74,0.19,116.0,0.05,595.26,580.0,1.0,3.0,6.0,19.0,0.12,54.0,62.0,19.0,13.0,34.0,87.1,30.0,0
5.0,3.0,21.0,3.0,8.0,3.0,0.12,4.0,1.0,0.33,13.0,1.0,0.0,4.0,2.0,28.25,18.42,9580.18,0.17,105.0,0.05,532.23,520.19,0.33,2.0,4.0,12.0,0.1,51.0,54.0,18.0,13.0,30.0,85.71,25.0,0
5.0,3.0,2.0,0.0,8.0,3.0,1.0,4.0,3.0,1.0,12.0,1.0,0.0,1.0,1.0,14.31,7.14,729.9,0.03,25.0,0.14,40.55,102.19,0.33,2.0,4.0,11.0,0.6,10.0,15.0,7.0,10.0,5.0,66.67,3.0,0
3.0,1.0,3.0,4.0,4.0,2.0,0.5,2.0,2.0,1.0,5.0,1.0,0.0,1.0,0.0,7.4,5.83,251.91,0.01,13.0,0.17,14.0,43.19,0.5,1.0,2.0,5.0,0.2,5.0,8.0,3.0,7.0,10.0,87.5,4.0,0
5.0,1.0,6.0,0.0,6.0,3.0,0.38,2.0,2.0,0.67,9.0,3.0,1.0,2.0,4.0,10.16,10.0,1015.79,0.03,26.0,0.1,56.43,101.58,1.0,2.0,3.0,8.0,0.23,10.0,16.0,5.0,10.0,13.0,75.0,8.0,0
3.0,2.0,2.0,0.0,4.0,2.0,0.67,2.0,2.0,1.0,8.0,1.0,0.0,1.0,1.0,10.15,9.0,822.39,0.03,24.0,0.11,45.69,91.38,0.5,1.0,2.0,8.0,0.4,10.0,14.0,5.0,9.0,5.0,66.67,3.0,0
3.0,2.0,7.0,2.0,4.0,2.0,0.22,2.0,2.0,1.0,9.0,1.0,0.0,2.0,0.0,27.05,6.92,1296.67,0.06,42.0,0.14,72.04,187.3,0.5,1.0,2.0,9.0,0.15,20.0,22.0,13.0,9.0,13.0,81.82,9.0,0
3.0,1.0,6.0,2.0,4.0,2.0,0.29,2.0,2.0,1.0,6.0,1.0,0.0,1.0,2.0,10.79,7.2,559.51,0.03,21.0,0.14,31.08,77.71,0.5,1.0,2.0,6.0,0.18,9.0,12.0,5.0,8.0,11.0,88.89,7.0,0
3.0,2.0,3.0,1.0,4.0,2.0,0.5,2.0,2.0,1.0,6.0,1.0,0.0,1.0,2.0,14.52,5.79,486.0,0.03,21.0,0.17,27.0,84.0,0.5,1.0,2.0,6.0,0.29,9.0,12.0,7.0,9.0,7.0,80.0,4.0,0
9.0,10.0,35.0,0.0,14.0,5.0,0.12,6.0,4.0,0.8,30.0,3.0,0.0,6.0,9.0,45.29,24.8,27844.43,0.37,211.0,0.04,1546.91,1122.93,0.6,4.0,7.0,27.0,0.11,103.0,108.0,27.0,13.0,46.0,85.37,41.0,0
9.0,4.0,11.0,0.0,14.0,5.0,0.33,6.0,4.0,0.8,16.0,4.0,0.0,4.0,4.0,17.47,10.39,1885.8,0.06,42.0,0.1,104.77,181.52,0.8,4.0,7.0,13.0,0.28,17.0,25.0,9.0,11.0,18.0,73.33,15.0,0
11.0,3.0,19.0,3.0,20.0,6.0,0.27,10.0,2.0,0.33,25.0,5.0,0.0,3.0,7.0,17.87,23.79,10108.93,0.14,85.0,0.04,561.61,425.0,0.83,5.0,10.0,21.0,0.21,37.0,48.0,14.0,18.0,29.0,88.0,22.0,0
3.0,1.0,4.0,0.0,4.0,2.0,0.4,2.0,2.0,1.0,8.0,1.0,0.0,1.0,1.0,15.33,11.67,2086.15,0.06,39.0,0.09,115.9,178.81,0.5,1.0,2.0,8.0,0.22,14.0,25.0,9.0,15.0,9.0,80.0,5.0,0
5.0,7.0,6.0,2.0,8.0,3.0,0.43,4.0,2.0,0.67,16.0,1.0,0.0,1.0,4.0,23.88,12.66,3824.79,0.1,61.0,0.08,212.49,302.21,0.33,2.0,4.0,15.0,0.2,27.0,34.0,16.0,15.0,15.0,88.89,7.0,0
5.0,0.0,8.0,3.0,6.0,3.0,0.3,2.0,1.0,0.33,7.0,3.0,1.0,2.0,3.0,11.97,13.0,2022.66,0.05,36.0,0.08,112.37,155.59,1.0,2.0,3.0,6.0,0.2,14.0,22.0,7.0,13.0,15.0,84.62,10.0,0
3.0,6.0,32.0,7.0,4.0,2.0,0.06,2.0,2.0,1.0,33.0,1.0,0.0,3.0,4.0,121.99,6.1,4539.25,0.25,138.0,0.16,252.18,744.14,0.5,1.0,2.0,33.0,0.04,61.0,77.0,35.0,7.0,46.0,92.86,35.0,0
3.0,1.0,3.0,2.0,4.0,2.0,0.5,2.0,1.0,0.5,6.0,1.0,0.0,1.0,1.0,26.21,5.41,766.89,0.05,34.0,0.18,42.6,141.78,0.5,1.0,2.0,6.0,0.25,17.0,17.0,11.0,7.0,8.0,83.33,4.0,0
5.0,3.0,10.0,0.0,8.0,3.0,0.21,4.0,3.0,1.0,12.0,1.0,0.0,4.0,0.0,18.12,4.2,319.65,0.03,22.0,0.24,17.76,76.11,0.33,2.0,4.0,11.0,0.19,7.0,15.0,5.0,6.0,16.0,71.43,14.0,0
3.0,5.0,4.0,0.0,4.0,2.0,0.4,2.0,2.0,1.0,10.0,1.0,0.0,1.0,2.0,17.18,8.56,1257.2,0.05,34.0,0.12,69.84,146.95,0.5,1.0,2.0,10.0,0.29,14.0,20.0,9.0,11.0,7.0,80.0,5.0,0
13.0,4.0,22.0,0.0,22.0,7.0,0.27,10.0,2.0,0.29,27.0,1.0,0.0,4.0,2.0,21.29,26.07,14467.0,0.19,111.0,0.04,803.72,555.0,0.14,6.0,11.0,22.0,0.25,46.0,65.0,15.0,17.0,28.0,84.62,26.0,0
3.0,2.0,3.0,1.0,4.0,2.0,0.5,2.0,2.0,1.0,6.0,1.0,0.0,1.0,0.0,7.33,4.5,148.5,0.01,11.0,0.22,8.25,33.0,0.5,1.0,2.0,6.0,0.29,3.0,8.0,2.0,6.0,7.0,80.0,4.0,0
3.0,1.0,4.0,5.0,4.0,2.0,0.4,2.0,1.0,0.5,7.0,1.0,0.0,1.0,1.0,11.86,4.38,227.03,0.02,15.0,0.23,12.61,51.89,0.5,1.0,2.0,7.0,0.17,5.0,10.0,4.0,7.0,12.0,90.0,5.0,0
9.0,0.0,11.0,0.0,14.0,5.0,0.36,6.0,1.0,0.2,15.0,3.0,0.0,3.0,5.0,11.17,15.4,2648.8,0.06,43.0,0.06,147.16,172.0,0.6,4.0,7.0,12.0,0.28,14.0,29.0,5.0,11.0,18.0,78.57,14.0,0
11.0,3.0,14.0,0.0,18.0,6.0,0.38,8.0,3.0,0.5,21.0,4.0,0.0,2.0,6.0,16.23,21.14,7252.56,0.11,73.0,0.05,402.92,343.13,0.67,5.0,9.0,17.0,0.27,31.0,42.0,11.0,15.0,22.0,87.5,16.0,0
3.0,3.0,4.0,1.0,4.0,2.0,0.4,2.0,2.0,1.0,10.0,1.0,0.0,1.0,0.0,17.64,3.33,196.03,0.02,17.0,0.3,10.89,58.81,0.5,1.0,2.0,10.0,0.25,8.0,9.0,6.0,5.0,8.0,83.33,5.0,0
3.0,2.0,2.0,0.0,4.0,2.0,0.67,2.0,2.0,1.0,8.0,1.0,0.0,1.0,0.0,6.16,10.67,701.11,0.02,19.0,0.09,38.95,65.73,0.5,1.0,2.0,8.0,0.4,8.0,11.0,3.0,8.0,5.0,66.67,3.0,0
7.0,1.0,8.0,1.0,12.0,4.0,0.36,6.0,2.0,0.5,15.0,1.0,0.0,3.0,3.0,15.73,8.75,1204.07,0.05,33.0,0.11,66.89,137.61,0.25,3.0,6.0,13.0,0.29,14.0,19.0,8.0,10.0,14.0,75.0,11.0,0
5.0,3.0,11.0,4.0,8.0,3.0,0.25,4.0,1.0,0.33,15.0,1.0,0.0,1.0,0.0,25.96,8.17,1731.33,0.07,53.0,0.12,96.19,212.0,0.33,2.0,4.0,14.0,0.17,21.0,32.0,9.0,7.0,18.0,93.75,12.0,0
17.0,13.0,28.0,0.0,22.0,10.0,0.32,10.0,5.0,0.5,50.0,6.0,0.0,3.0,3.0,27.69,20.43,11551.11,0.19,107.0,0.05,641.73,565.54,0.6,6.0,11.0,42.0,0.29,43.0,64.0,20.0,19.0,34.0,90.32,31.0,0
5.0,3.0,18.0,0.0,8.0,3.0,0.14,4.0,2.0,0.67,15.0,1.0,0.0,4.0,1.0,25.33,13.75,4788.98,0.12,75.0,0.07,266.05,348.29,0.33,2.0,4.0,14.0,0.13,35.0,40.0,14.0,11.0,24.0,81.82,22.0,0
7.0,2.0,9.0,0.0,12.0,4.0,0.36,6.0,3.0,0.75,16.0,1.0,0.0,2.0,3.0,11.84,17.06,3447.42,0.07,46.0,0.06,191.52,202.05,0.25,3.0,6.0,14.0,0.31,21.0,25.0,8.0,13.0,13.0,81.82,11.0,0
3.0,0.0,2.0,0.0,4.0,2.0,0.67,2.0,1.0,0.5,5.0,1.0,0.0,1.0,3.0,9.87,5.63,312.22,0.02,15.0,0.18,17.35,55.51,0.5,1.0,2.0,5.0,0.4,5.0,10.0,4.0,9.0,5.0,66.67,3.0,0
11.0,4.0,15.0,2.0,20.0,6.0,0.32,10.0,4.0,0.67,31.0,5.0,0.0,4.0,2.0,18.72,17.36,5641.07,0.11,65.0,0.06,313.39,325.0,0.83,5.0,10.0,27.0,0.24,27.0,38.0,14.0,18.0,25.0,80.95,19.0,0
3.0,6.0,14.0,0.0,4.0,2.0,0.13,2.0,1.0,0.5,16.0,1.0,0.0,2.0,2.0,20.4,20.68,8723.93,0.14,92.0,0.05,484.66,421.82,0.5,1.0,2.0,16.0,0.11,35.0,57.0,11.0,13.0,19.0,87.5,16.0,0
11.0,9.0,29.0,0.0,18.0,6.0,0.18,8.0,5.0,0.83,32.0,3.0,0.0,4.0,6.0,32.25,27.61,24598.68,0.3,171.0,0.04,1366.59,890.82,0.5,5.0,9.0,28.0,0.16,81.0,90.0,22.0,15.0,38.0,87.88,33.0,0
6.0,5.0,16.0,1.0,4.0,4.0,0.2,2.0,3.0,0.75,15.0,1.0,0.0,4.0,2.0,15.54,13.0,2626.61,0.07,46.0,0.08,145.92,202.05,0.25,1.0,2.0,13.0,0.17,16.0,30.0,8.0,13.0,23.0,80.95,20.0,0
5.0,17.0,47.0,73.0,8.0,3.0,0.06,4.0,2.0,0.67,29.0,1.0,0.0,3.0,0.0,75.17,22.63,38501.99,0.57,297.0,0.04,2139.0,1701.19,0.33,2.0,4.0,28.0,0.02,81.0,216.0,34.0,19.0,125.0,97.56,50.0,0
3.0,1.0,3.0,1.0,4.0,2.0,0.5,2.0,2.0,1.0,5.0,1.0,0.0,1.0,0.0,5.5,6.0,198.0,0.01,11.0,0.17,11.0,33.0,0.5,1.0,2.0,5.0,0.29,4.0,7.0,2.0,6.0,7.0,80.0,4.0,0
3.0,0.0,2.0,0.0,4.0,2.0,0.67,2.0,1.0,0.5,6.0,1.0,0.0,1.0,1.0,12.63,2.0,50.53,0.01,9.0,0.5,2.81,25.27,0.5,1.0,2.0,6.0,0.4,3.0,6.0,3.0,4.0,5.0,66.67,3.0,0
3.0,1.0,1.0,0.0,4.0,2.0,1.0,2.0,2.0,1.0,6.0,1.0,0.0,1.0,2.0,8.36,6.0,301.14,0.02,14.0,0.17,16.73,50.19,0.5,1.0,2.0,6.0,0.5,6.0,8.0,4.0,8.0,4.0,50.0,2.0,0
15.0,5.0,41.0,22.0,28.0,8.0,0.18,14.0,5.0,0.63,35.0,1.0,0.0,3.0,6.0,27.62,33.0,30072.95,0.3,169.0,0.03,1670.72,911.3,0.13,7.0,14.0,29.0,0.11,66.0,103.0,21.0,21.0,73.0,95.45,44.0,0
9.0,4.0,16.0,1.0,16.0,5.0,0.28,8.0,4.0,0.8,29.0,1.0,0.0,2.0,1.0,13.97,34.36,16494.55,0.16,96.0,0.03,916.36,480.0,0.2,4.0,8.0,26.0,0.24,36.0,60.0,11.0,21.0,21.0,89.47,18.0,0
3.0,1.0,4.0,8.0,4.0,2.0,0.33,2.0,1.0,0.5,7.0,1.0,0.0,2.0,0.0,12.96,7.71,771.43,0.03,25.0,0.13,42.86,100.0,0.5,1.0,2.0,7.0,0.13,12.0,13.0,7.0,9.0,16.0,85.71,6.0,0
11.0,5.0,10.0,0.0,20.0,6.0,0.55,10.0,6.0,1.0,35.0,1.0,0.0,1.0,1.0,11.99,30.94,11475.71,0.12,82.0,0.03,637.54,370.93,0.17,5.0,10.0,31.0,0.46,33.0,49.0,8.0,15.0,13.0,90.91,11.0,0
3.0,2.0,2.0,0.0,6.0,2.0,0.67,2.0,2.0,1.0,6.0,1.0,0.0,1.0,4.0,11.98,7.5,673.94,0.03,23.0,0.13,37.44,89.86,0.5,2.0,3.0,6.0,0.33,10.0,13.0,6.0,9.0,6.0,66.67,3.0,0
5.0,21.0,26.0,100.0,8.0,3.0,0.1,4.0,3.0,1.0,29.0,1.0,0.0,3.0,0.0,119.94,3.62,1572.37,0.14,84.0,0.28,87.35,434.27,0.33,2.0,4.0,28.0,0.02,30.0,54.0,29.0,7.0,131.0,97.67,29.0,0
3.0,0.0,3.0,0.0,4.0,2.0,0.5,2.0,1.0,0.5,6.0,1.0,0.0,1.0,0.0,13.88,4.8,319.72,0.02,18.0,0.21,17.76,66.61,0.5,1.0,2.0,6.0,0.33,6.0,12.0,5.0,8.0,6.0,75.0,4.0,0
5.0,7.0,3.0,2.0,6.0,3.0,0.75,2.0,3.0,1.0,14.0,3.0,1.0,1.0,1.0,13.22,5.6,414.45,0.02,20.0,0.18,23.02,74.01,1.0,2.0,3.0,13.0,0.38,7.0,13.0,5.0,8.0,8.0,83.33,4.0,0
3.0,2.0,4.0,0.0,4.0,2.0,0.33,2.0,2.0,1.0,6.0,1.0,0.0,2.0,3.0,11.1,8.0,710.48,0.03,24.0,0.13,39.47,88.81,0.5,1.0,2.0,6.0,0.25,10.0,14.0,5.0,8.0,8.0,66.67,6.0,0
